# 2026-08-02T20:10:34-04:00 A100 measured T(N)  AMORTCSV,file,variant,N,total_ms
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_16_5.txt,cusparse,10,11.377
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_16_5.txt,cusparse,100,12.694
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_16_5.txt,cusparse,1000,30.553
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_16_5.txt,cusparse,10000,214.656
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_16_5.txt,diaq_fp32,1,0.808
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_16_5.txt,diaq_fp32,10,1.092
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_16_5.txt,diaq_fp32,100,2.404
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_16_5.txt,diaq_fp32,1000,15.781
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_16_5.txt,diaq_fp32,10000,149.419
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_18_5.txt,didx,1,20.654
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_18_5.txt,didx,10,20.874
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_18_5.txt,didx,100,21.747
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_18_5.txt,didx,1000,32.949
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_18_5.txt,didx,10000,143.439
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_18_5.txt,didx_sym,1,13.060
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_18_5.txt,didx_sym,10,13.242
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_18_5.txt,didx_sym,100,14.119
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_18_5.txt,didx_sym,1000,24.804
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_18_5.txt,didx_sym,10000,132.314
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_18_5.txt,cusparse,1,59.627
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_18_5.txt,cusparse,10,56.562
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_18_5.txt,cusparse,100,59.825
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_18_5.txt,cusparse,1000,91.609
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_18_5.txt,cusparse,10000,410.855
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_18_5.txt,diaq_fp32,1,3.489
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_18_5.txt,diaq_fp32,10,5.408
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_18_5.txt,diaq_fp32,100,11.605
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_18_5.txt,diaq_fp32,1000,73.452
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_18_5.txt,diaq_fp32,10000,690.945
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,didx,1,130.131
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,didx,10,129.479
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,didx,100,134.455
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,didx,1000,187.142
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,didx,10000,712.598
AMORTCSV,/mnt/beegfs/ysu34/hamlib/dia_e2e/heis_20_5.txt,didx_sym,1,60.022
